이름,연도,연봉(만원),생년월일,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,RISP
김선빈,2017,45000,19891218,0.37,137,529,476,84,176,34,1,5,227,64,5,4,39,4,5,40,10,0.477,0.42,0.897,0.382
박건우,2017,190000,19900908,0.366,131,543,483,91,177,40,2,20,281,78,5,4,41,2,10,64,15,0.582,0.424,1.006,0.353
박민우,2017,41000,19930206,0.363,106,452,388,84,141,25,4,3,183,47,3,4,46,0,11,51,8,0.472,0.441,0.913,0.356
나성범,2017,200000,19891003,0.347,125,561,498,103,173,42,2,24,291,99,0,3,48,10,12,116,8,0.584,0.415,0.999,0.345
최형우,2017,90000,19831216,0.342,142,629,514,98,176,36,3,26,296,120,0,8,96,8,11,82,15,0.576,0.45,1.026,0.368
김재환,2017,150000,19880922,0.34,144,636,544,110,185,34,2,35,328,115,0,4,81,10,7,123,8,0.603,0.429,1.032,0.342
손아섭,2017,150000,19880318,0.335,144,667,576,113,193,35,4,20,296,80,1,3,83,8,4,96,7,0.514,0.42,0.934,0.29
서건창,2017,26000,19890822,0.332,139,615,539,87,179,28,3,6,231,76,2,6,67,1,1,68,11,0.429,0.403,0.832,0.365
이명기,2017,17500,19871216,0.332,115,512,464,79,154,24,4,9,213,63,14,3,28,0,3,57,2,0.459,0.371,0.83,0.383
이정후,2017,75000,19980820,0.332,139,615,539,87,179,28,3,6,231,76,2,6,60,2,6,67,9,0.417,0.395,0.812,0.321
전준우,2017,50000,19860225,0.321,110,496,455,76,146,27,1,18,229,69,2,2,30,2,7,70,11,0.503,0.37,0.873,0.325
이대호,2017,80000,19820621,0.32,142,608,540,73,173,13,0,34,288,111,0,3,50,8,15,84,22,0.533,0.391,0.924,0.341
최정,2017,120000,19870228,0.316,130,527,430,89,136,18,1,46,294,113,0,8,70,10,19,107,8,0.684,0.427,1.111,0.388
안치홍,2017,100000,19970702,0.316,132,545,487,95,154,29,2,21,250,93,6,5,43,1,4,70,19,0.513,0.373,0.886,0.319
고종욱,2017,7000,19890111,0.312,123,453,426,70,133,24,8,8,197,54,0,2,22,2,3,92,11,0.462,0.349,0.811,0.288
구자욱,2017,250000,19930212,0.31,144,647,564,108,175,39,10,21,297,107,0,10,63,1,10,138,1,0.527,0.383,0.91,0.352
오재일,2017,60000,19861029,0.306,128,466,412,62,126,27,0,26,231,89,1,3,45,0,5,80,5,0.561,0.378,0.939,0.315
강한울,2017,10000,19910912,0.303,135,448,412,58,125,9,3,0,140,24,9,1,26,0,0,57,4,0.34,0.344,0.684,0.24
김현수,2018,150000,19880112,0.362,117,511,453,95,164,39,2,20,267,101,0,10,47,6,1,61,9,0.589,0.415,1.004,0.419
양의지,2018,100000,19870605,0.358,133,503,439,84,157,29,1,23,257,77,0,6,45,6,13,40,13,0.585,0.427,1.012,0.317
