이름,연도,연봉(만원),생년월일,ERA,G,W,L,SV,HLD,WPCT,H,HR,BB,HBP,SO,R,ER,WHIP
장원준,2017,"5,000",19850731,3.14,29,14,9,0,0,0.609,172,12,51,14,125,70,63,1.24
차우찬,2017,"30,000",19870531,3.43,28,10,7,0,0,0.588,171,20,38,7,157,75,67,1.19
양현종,2017,"100,000",19880301,3.44,31,20,6,0,0,0.769,209,17,45,0,158,88,74,1.31
박세웅,2017,"26,000",19951130,3.68,28,12,6,0,0,0.667,170,21,56,9,117,74,70,1.32
박종훈,2017,"180,000",19910813,4.1,29,12,7,0,1,0.632,145,16,61,25,107,74,69,1.36
최원태,2017,"31,000",19970107,4.46,25,11,7,0,0,0.611,161,19,34,12,126,76,74,1.31
문승원,2017,"160,000",19891128,5.33,29,6,12,0,0,0.333,181,25,54,11,86,98,92,1.51
이용찬,2018,"40,000",19890102,3.63,25,15,3,0,0,0.833,151,14,36,8,102,62,58,1.3
양현종,2018,"100,000",19880301,4.15,29,13,11,0,0,0.542,199,21,43,2,152,88,85,1.31
박종훈,2018,"180,000",19910813,4.18,30,14,8,0,0,0.636,158,16,54,20,133,81,74,1.33
문승원,2018,"160,000",19891128,4.6,31,8,9,1,1,0.471,180,24,37,4,122,86,77,1.44
이재학,2018,"18,000",19901004,4.79,29,5,13,0,0,0.278,157,13,49,10,116,87,81,1.35
한현희,2018,"25,000",19930625,4.79,30,11,7,0,0,0.611,208,22,49,20,105,98,90,1.52
임찬규,2018,"20,000",19921120,5.77,29,11,11,1,0,0.5,195,23,47,13,125,104,94,1.65
차우찬,2018,"30,000",19870531,6.09,29,12,10,0,0,0.545,177,27,79,10,136,119,115,1.51
김원중,2018,"28,000",19930614,6.94,30,8,7,0,0,0.533,173,28,77,11,137,115,112,1.72
양현종,2019,"100,000",19880301,2.29,29,16,8,0,0,0.667,165,6,33,2,163,56,47,1.07
김광현,2019,"810,000",19880722,2.51,31,17,6,0,0,0.739,198,13,38,2,180,64,53,1.24
켈리,2019,"123,187",19891004,2.55,29,14,12,0,0,0.538,164,7,41,16,126,70,51,1.14
루친스키,2019,"219,000",19881230,3.05,30,9,9,0,0,0.5,164,13,45,11,119,68,60,1.18
요키시,2019,"123,187",19890729,3.13,30,13,9,0,0,0.591,166,9,39,11,141,72,63,1.13
최원태,2019,"31,000",19970107,3.38,27,11,5,0,0,0.688,165,5,36,5,105,68,59,1.28
쿠에바스,2019,"94,960",19901014,3.62,30,13,10,0,0,0.565,153,18,63,12,135,80,74,1.17
이영하,2019,"16,000",19971101,3.64,29,17,4,0,0,0.81,148,5,61,10,90,70,66,1.28
문승원,2020,"160,000",19891128,3.88,26,11,7,0,2,0.611,130,23,33,3,99,63,62,1.13
박종훈,2019,"180,000",19910813,3.88,28,8,11,0,0,0.421,157,12,59,13,100,72,62,1.5
이용찬,2019,"40,000",19890102,4.07,26,7,10,0,0,0.412,168,15,45,6,102,75,67,1.44
차우찬,2019,"30,000",19870531,4.12,29,13,8,0,0,0.619,181,16,59,5,124,87,77,1.43
백정현,2019,"80,000",19870713,4.24,28,8,10,0,0,0.444,158,17,56,6,82,85,74,1.36
