연봉(만원),생년월일,연도,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,RISP,,,,,,
17200,19990601,2022,0.307,129,499,456,43,140,27,0,14,209,65,0,4,33,2,6,64,15,0.458,0.359,0.817,0.278,,,,,,
79102,19891121,2022,0.342,141,630,561,102,192,33,4,28,317,109,0,2,55,12,12,81,19,0.565,0.411,0.976,0.375,,,,,,
5600,19970610,2022,0.24,119,464,404,46,97,18,0,7,136,53,3,4,48,1,5,106,9,0.337,0.325,0.662,0.239,,,,,,
26000,19950428,2022,0.24,132,449,388,69,93,8,2,4,117,34,11,4,43,0,2,75,11,0.302,0.316,0.618,0.175,,,,,,
32000,19990127,2022,0.318,129,566,516,81,164,18,7,4,208,48,0,3,47,3,0,83,9,0.403,0.373,0.776,0.295,,,,,,
6800,20000719,2022,0.315,126,466,406,52,128,22,3,9,183,56,5,7,47,1,1,56,11,0.451,0.382,0.833,0.287,,,,,,
65919,19920906,2022,0.311,127,554,514,83,160,29,7,17,254,77,0,4,34,4,2,81,11,0.494,0.354,0.848,0.296,,,,,,
15000,19970723,2022,0.304,144,640,569,93,173,32,4,10,243,61,13,4,47,0,7,77,7,0.427,0.362,0.789,0.362,,,,,,
14000,19980330,2022,0.298,140,564,494,68,147,24,4,2,185,56,6,2,60,1,2,81,5,0.374,0.375,0.749,0.31,,,,,,
58008,19900627,2022,0.296,139,576,510,67,151,34,1,16,235,85,0,7,51,5,8,86,8,0.461,0.365,0.826,0.306,,,,,,
92286,19901203,2022,0.289,144,648,575,88,166,37,4,12,247,43,0,2,64,5,7,104,12,0.43,0.366,0.796,0.216,,,,,,
32000,19931121,2022,0.286,118,525,437,76,125,19,4,1,155,51,5,5,59,0,19,75,11,0.355,0.39,0.745,0.385,,,,,,
